id,franquia,is_franchise,estudio_principal,original_language,production_countries,status
17402,,False,Hollywood Pictures,en,United States of America,Released
1945,,False,Egg Pictures,en,United States of America,Released
241,,False,Warner Bros. Pictures,en,United States of America,Released
6950,,False,Kopelson Entertainment,en,United States of America,Released
101,,False,Gaumont,fr,France,Released
63020,,False,The Samuel Goldwyn Company,en,United States of America,Released
680,,False,Miramax,en,United States of America,Released
25296,,False,Ang Lee Productions,zh,"Taiwan, United States of America",Released
12106,,False,TriStar Pictures,en,"United States of America, Japan",Released
161495,,False,Hollywood Pictures,en,United States of America,Released
3586,,False,Miramax,en,United States of America,Released
22586,The Swan Princess Collection,True,Rich Animation Studios,en,United States of America,Released
2636,,False,Jerry Weintraub Productions,en,United States of America,Released
2164,,False,Le Studio Canal+,en,"United States of America, France",Released
11395,The Santa Clause Collection,True,Walt Disney Pictures,en,United States of America,Released
278,,False,Castle Rock Entertainment,en,United States of America,Released
9067,,False,Trilogy Entertainment Group,en,United States of America,Released
193,Star Trek: The Next Generation Collection,True,Paramount Pictures,en,United States of America,Released
25066,Tales From the Hood Collection,True,40 Acres and a Mule Filmworks,en,United States of America,Released
1587,,False,Paramount Pictures,en,United States of America,Released
9271,,False,Paramount Pictures,en,United States of America,Released
2064,,False,Caravan Pictures,en,United States of America,Released
236,,False,CiBy 2000,en,"Australia, France",Released
3049,Ace Ventura Collection,True,Morgan Creek Entertainment,en,United States of America,Released
10497,,False,R.P. Productions,en,"France, United Kingdom",Released
9331,The Jack Ryan Collection,True,Paramount Pictures,en,United States of America,Released
10731,,False,Alcor Films,en,United States of America,Released
9495,The Crow Collection,True,Entertainment Media Investment,en,United States of America,Released
888,The Flintstones Collection,True,Hanna-Barbera Cartoons,en,United States of America,Released
13,,False,Paramount Pictures,en,United States of America,Released
712,,False,PolyGram Filmed Entertainment,en,"United Kingdom, United States of America",Released
10879,,False,Caravan Pictures,en,United States of America,Released
8587,The Lion King Collection,True,Walt Disney Pictures,en,United States of America,Released
1689,,False,Recorded Picture Company,en,"France, Italy, Liechtenstein, United Kingdom",Released
11596,A Nightmare on Elm Street Collection,True,New Line Cinema,en,United States of America,Released
854,The Mask Collection,True,Dark Horse Entertainment,en,United States of America,Released
36593,Naked Gun Collection,True,Paramount Pictures,en,United States of America,Released
2788,,False,Universal Pictures,en,United States of America,Released
10427,,False,Propaganda Films,en,United States of America,Released
1637,Speed Collection,True,20th Century Fox,en,United States of America,Released
8831,Timecop Collection,True,Renaissance Pictures,en,"United States of America, Japan, Canada",Released
36955,,False,Lightstorm Entertainment,en,United States of America,Released
12160,,False,Paragon Entertainment Corp.,en,United States of America,Released
26352,,False,Caravan Pictures,en,United States of America,Released
22067,,False,PolyGram Filmed Entertainment,en,United States of America,Released
11667,,False,Capcom,en,"Australia, Japan, Thailand, United States of America, Hong Kong",Released
8011,Highlander Collection,True,Trans-Film,en,"Canada, France, United Kingdom, United States of America",Released
2654,,False,New Line Cinema,en,United States of America,Released
10436,,False,Columbia Pictures,en,United States of America,Released
46094,,False,NBB Unit One Film Partners,en,United States of America,Released
306,Beverly Hills Cop Collection,True,Eddie Murphy Productions,en,United States of America,Released
4722,,False,Dorset Productions,en,United States of America,Released
1607,,False,Price Entertainment,en,United States of America,Released
117553,,False,Columbia Pictures,en,United States of America,Released
6075,Carlito's Way Collection,True,Universal Pictures,en,United States of America,Released
9350,,False,Carolco Pictures,en,"France, Italy, United States of America, Japan",Released
2124,,False,Cinergi Pictures,en,United States of America,Released
9571,,False,Gramercy Pictures,en,United States of America,Released
9739,,False,Silver Pictures,en,United States of America,Released
9024,,False,Imagine Entertainment,en,United States of America,Released
37233,,False,Mirage Enterprises,en,United States of America,Released
1634,Free Willy Collection,True,Warner Bros. Pictures,en,"United States of America, France",Released
5503,Marshal Samuel Gerard Collection,True,Warner Bros. Pictures,en,United States of America,Released
35588,,False,Columbia Pictures,en,United States of America,Released
2019,Hard Target Collection,True,Alphaville Films,en,United States of America,Released
9255,Hot Shots! Collection,True,Sidley Wright & Associates,en,United States of America,Released
9386,,False,Castle Rock Entertainment,en,United States of America,Released
7984,,False,Hell's Kitchen,en,Ireland,Released
329,Jurassic Park Collection,True,Universal Pictures,en,United States of America,Released
10909,,False,Propaganda Films,en,United States of America,Released
507,,False,PFG Entertainment,en,"United States of America, France",Released
9593,,False,Oak Productions,en,United States of America,Released
10440,,False,TriStar Pictures,en,United States of America,Released
9516,,False,New Line Cinema,en,United States of America,Released
2320,,False,Silver Pictures,en,United States of America,Released
788,,False,20th Century Fox,en,United States of America,Released
11231,The Karate Kid Collection,True,Columbia Pictures,en,United States of America,Released
10447,,False,Platinum Pictures,en,"United Kingdom, United States of America",Released
9559,,False,Malpaso Productions,en,United States of America,Released
9800,,False,TriStar Pictures,en,United States of America,Released
713,,False,CiBy 2000,en,"Australia, France",Released
8291,The Hood Collection,True,Columbia Pictures,en,United States of America,Released
10872,,False,Don Simpson/Jerry Bruckheimer Films,en,United States of America,Released
1245,,False,Columbia Pictures,en,"United Kingdom, United States of America",Released
11858,,False,Cinergi Pictures,en,"Canada, United States of America",Released
5550,RoboCop Collection,True,Orion Pictures,en,United States of America,Released
8005,,False,Gaumont,en,"United States of America, France",Released
2088,,False,Working Title Films,en,"United Kingdom, United States of America",Released
47889,,False,Ruby in Paradise,en,United States of America,Released
14534,,False,TriStar Pictures,en,United States of America,Released
424,,False,Amblin Entertainment,en,United States of America,Released
11592,,False,Polar Entertainment,en,United States of America,Released
8850,The Shadow Collection,True,Bregman/Baer Productions,en,United States of America,Released
858,,False,TriStar Pictures,en,United States of America,Released
867,,False,Robert Evans Productions,en,United States of America,Released
78,Blade Runner Collection,True,Shaw Brothers,en,"United States of America, Hong Kong, United Kingdom",Released
10442,,False,TriStar Pictures,en,United States of America,Released
9607,,False,Hollywood Pictures,en,"United Kingdom, United States of America",Released
17585,,False,New Line Cinema,en,United States of America,Released
9057,,False,Hollywood Pictures,en,"Canada, Russia, United States of America",Released
9479,,False,Touchstone Pictures,en,United States of America,Released
10057,,False,Walt Disney Pictures,en,"United States of America, Austria",Released
11969,,False,Cinergi Pictures,en,United States of America,Released
319,,False,Morgan Creek Entertainment,en,"United States of America, France",Released
15139,,False,20th Century Fox,en,United States of America,Released
771,Home Alone Collection,True,Hughes Entertainment,en,United States of America,Released
251,,False,Paramount Pictures,en,United States of America,Released
812,Aladdin Collection,True,Walt Disney Feature Animation,en,United States of America,Released
280,The Terminator Collection,True,Carolco Pictures,en,"France, United States of America",Released
581,,False,Tig Productions,en,"United Kingdom, United States of America",Released
268,Batman Collection,True,Warner Bros. Pictures,en,United States of America,Released
274,The Hannibal Lecter Collection,True,Orion Pictures,en,United States of America,Released
408,,False,Walt Disney Productions,en,United States of America,Released
10020,Beauty and the Beast Collection,True,Silver Screen Partners IV,en,United States of America,Released
10895,,False,Walt Disney Productions,en,United States of America,Released
114,,False,Touchstone Pictures,en,United States of America,Released
576,,False,Warner Bros.-Seven Arts,en,United States of America,Released
275,,False,PolyGram Filmed Entertainment,en,"United Kingdom, United States of America",Released
8766,Hellraiser Collection,True,Dimension Films,en,United States of America,Released
10112,,False,Walt Disney Productions,en,United States of America,Released
1592,,False,Paramount Pictures,en,United States of America,Released
61752,,False,Fox Searchlight Pictures,en,United States of America,Released
10684,,False,Davis Entertainment,en,United States of America,Released
